id,full_name,pdes,name,diameter,rot_per,BV,UB,IR,spec_B,spec_T,a
a0000132,"   132 Aethra",132,Aethra,42.87,5.1684,.673,.188,,Xe,M,2.608115354140834
a0000391,"   391 Ingeborg (1894 BE)",391,Ingeborg,15.751,26.391,,,,S,S,2.320185489574528
a0000475,"   475 Ocllo (1901 HN)",475,Ocllo,24.741,7.3151,.695,,,,X,2.594979366298673
a0000512,"   512 Taurinensis (1903 LV)",512,Taurinensis,23.09,5.585,.917,.525,,S,S,2.189040287956064
a0000699,"   699 Hela (1910 KD)",699,Hela,,3.3962,.854,.386,,Sq,S,2.610997556593536
a0000985,"   985 Rosina (1922 MO)",985,Rosina,,3.0126,,,,S,,2.299979313689437
a0001009,"  1009 Sirene (1923 PE)",1009,Sirene,,,,,,,,2.62517511741801
a0001011,"  1011 Laodamia (1924 PK)",1011,Laodamia,,5.17247,.900,.515,,Sr,S,2.391976298164618
a0001065,"  1065 Amundsenia (1926 PD)",1065,Amundsenia,,7.7594,,,,S,,2.360275984092389
a0001131,"  1131 Porzia (1929 RO)",1131,Porzia,,4.6584,,,,S,,2.228562367305364
a0001134,"  1134 Kepler (1929 SA)",1134,Kepler,,2.75445,,,,S,,2.67728196064315
a0001139,"  1139 Atami (1929 XE)",1139,Atami,,27.446,.920,.497,,S,S,1.947284153346848
a0001170,"  1170 Siva (1930 SQ)",1170,Siva,10.37,5.22,.864,.452,,,S,2.325154367985063
a0001198,"  1198 Atlantis (1931 RA)",1198,Atlantis,,16.,,,,L,,2.251074279179824
a0001204,"  1204 Renzia (1931 TE)",1204,Renzia,,7.885,,,,S,,2.263229512196294
a0001235,"  1235 Schorria (1931 UJ)",1235,Schorria,,1265.,.750,.330,,,CX:,1.910220255633036
a0001293,"  1293 Sonja (1933 SO)",1293,Sonja,7.80,2.878,,,,Sq,,2.227816508244166
a0001310,"  1310 Villigera (1932 DB)",1310,Villigera,,7.830,.905,.445,,,S,2.391429587564857
a0001316,"  1316 Kasan (1933 WC)",1316,Kasan,,5.82,,,,Sr,,2.413003803004678
a0001374,"  1374 Isora (1935 UA)",1374,Isora,,36.699,,,,Sq,,2.251519244200822
a0001468,"  1468 Zomba (1938 PA)",1468,Zomba,,2.773,,,,,,2.195759444988598
a0001474,"  1474 Beira (1935 QY)",1474,Beira,,4.184,.620,.245,,B,FX,2.733383928231711
a0001508,"  1508 Kemi (1938 UP)",1508,Kemi,,9.196,.645,.249,,C,BCF,2.77340546291644
a0001565,"  1565 Lemaitre (1948 WA)",1565,Lemaitre,7.949,11.403,,,,Sq,,2.392849036104109
a0001593,"  1593 Fagnes (1951 LB)",1593,Fagnes,6.095,25.25,,,,S,,2.224960903580246
a0001640,"  1640 Nemo (1951 QA)",1640,Nemo,,5.0,,,,S,,2.288229982219622
a0001656,"  1656 Suomi (1942 EC)",1656,Suomi,7.86,2.583,,,,,S,1.877492709482589
a0001727,"  1727 Mette (1965 BA)",1727,Mette,,2.98109,,,,,S,1.854200805912106
a0001747,"  1747 Wright (1947 NH)",1747,Wright,6.35,5.2896,,,,Sl,AU:,1.709044549548209
a0001750,"  1750 Eckert (1950 NA1)",1750,Eckert,,375.,.885,.500,,,S,1.926539826141565
a0001951,"  1951 Lick (1949 OA)",1951,Lick,5.57,5.3016,,,,A,,1.390451798034
a0002035,"  2035 Stearns (1973 SC)",2035,Stearns,4.824,93.,.737,.280,,Xe,E,1.883901413031131
a0002044,"  2044 Wirt (1950 VE)",2044,Wirt,6.66,3.6898,,,,,,2.379529845535803
a0002055,"  2055 Dvorak (1974 DB)",2055,Dvorak,,4.405,,,,,,2.310329444164242
a0002064,"  2064 Thomsen (1942 RQ)",2064,Thomsen,13.61,4.233,.887,.524,,S,,2.178696468139879
a0002074,"  2074 Shoemaker (1974 UA)",2074,Shoemaker,3.217,2.5328,,,,Sa,,1.799653299304105
a0002077,"  2077 Kiangsu (1974 YA)",2077,Kiangsu,3.791,104.2,,,,,,2.328420798793592
a0002078,"  2078 Nanking (1975 AD)",2078,Nanking,4.639,6.473,,,,Sq,,2.368360411667541
a0002099,"  2099 Opik (1977 VB)",2099,Opik,,6.4430,.690,.350,,Ch,S,2.304303706473663
a0002204,"  2204 Lyyli (1943 EQ)",2204,Lyyli,25.16,11.063,,,,X,,2.591280933565479
a0002253,"  2253 Espinette (1932 PB)",2253,Espinette,,7.442,,,,Sl,,2.283838166868515
a0002335,"  2335 James (1974 UB)",2335,James,6.367,,,,,Sa,,2.123778426523871
a0002423,"  2423 Ibarruri (1972 NC)",2423,Ibarruri,4.899,139.79,,,,A,,2.188404943009695
a0002449,"  2449 Kenos (1978 GC)",2449,Kenos,,3.8492,.684,.356,,,E,1.908925499174566
a0002577,"  2577 Litva (1975 EE3)",2577,Litva,,2.81258,.787,.340,,,EU,1.904445950003516
a0002629,"  2629 Rudra (1980 RB1)",2629,Rudra,4.884,123.171,,,,B,,1.74040822535869
a0002744,"  2744 Birgitta (1975 RB)",2744,Birgitta,,8.994,.909,.527,,S,S,2.301140868411032
a0002937,"  2937 Gibbs (1980 LA)",2937,Gibbs,,3.189,,,,,,2.32058228420528
a0002968,"  2968 Iliya (1978 QJ)",2968,Iliya,4.456,,,,,,,2.366558727105072
a0003040,"  3040 Kozai (1979 BA)",3040,Kozai,,,,,,S,,1.84066451253608
a0003163,"  3163 Randi (1981 QM)",3163,Randi,3.883,59.50,,,,,,2.394397263795577
